OID,SPCODE,STATE
1322,F00T,IN
1323,F03X,IN
1324,Q21U,IN
1325,B07N,IN
1326,Q2RE,IN
1327,F01A,IN
1328,Q1T6,KS
1329,B0DM,KS
1330,B079,KS
1331,F00X,KS
1332,B003,KS
1333,F00F,KS
1334,A004,KS
1335,A04J,KS
1336,A0JE,KS
1337,I028,KS
1338,E05X,KS
1339,E07R,KS
1340,E03S,KS
1341,Q2YD,KS
1342,F03X,KS
1343,E06X,KS
1344,B07N,KS
1345,F01K,KY
1346,Q1SW,KY
1347,Q1SY,KY
1348,Q25F,KY
1349,K03K,KY
1350,Q1UR,KY
1351,A080,KY
1352,F00X,KY
1353,F02H,KY
1354,F01F,KY
1355,F01T,KY
1356,F010,KY
1357,F006,KY
1358,F02Z,KY
1359,F03J,KY
1360,E086,KY
1361,E078,KY
1362,E05R,KY
1363,F00G,KY
1364,Q12F,KY
1365,A04J,KY
1366,A0JE,KY
1367,A000,KY
1368,E04E,KY
1369,F00S,KY
1370,K01X,KY
1371,F00L,KY
1372,E05I,KY
1373,Q139,KY
1374,F00R,KY
1375,F046,KY
1376,F01D,KY
1377,F00P,KY
1378,F01Y,KY
1379,F00T,KY
1380,F041,KY
1381,F03X,KY
1382,E06X,KY
1383,Q21T,KY
1384,Q21U,KY
1385,Q2R1,KY
1386,B07N,KY
1387,Q2RE,KY
1388,F000,KY
1389,E04W,LA
1390,B0DM,LA
1391,C00U,LA
1392,B079,LA
1393,C00F,LA
1394,C00E,LA
1395,Q1WK,LA
1396,C044,LA
1397,C022,LA
1398,S00T,LA
1399,F00G,LA
1400,C00O,LA
1401,F02C,LA
1402,A0JE,LA
1403,B04F,LA
1404,F00T,LA
1405,F01O,LA
1406,F03X,LA
1407,E06X,LA
1408,Q2I4,LA
1409,B07N,LA
1410,A007,LA
1411,Q24K,MA
1412,F029,MA
1413,B0DM,MA
1414,B079,MA
1415,I02C,MA
1416,I02D,MA
1417,C048,MA
1418,C00F,MA
1419,C00E,MA
1420,Q1XL,MA
1421,A0JE,MA
1422,I028,MA
1423,C021,MA
1424,Q21H,MA
1425,B07O,MA
1426,Q24J,MD
1427,Q24K,MD
1428,F029,MD
1429,B0DM,MD
1430,B079,MD
1431,I02C,MD
1432,I02D,MD
1433,C048,MD
1434,C00F,MD
1435,C00E,MD
1436,E003,MD
1437,Q2B8,MD
1438,A0JE,MD
1439,Q2EL,MD
1440,Q2H9,MD
1441,Q21H,MD
1442,K004,MD
1443,B0DM,ME
1444,B079,ME
1445,C00F,ME
1446,C00E,ME
1447,Q1XL,ME
1448,A073,ME
1449,A0JE,ME
1450,Q1ZW,ME
1451,Q2GG,ME
1452,E07L,ME
1453,B07O,ME
1454,S00O,MI
1455,I02B,MI
1456,B0DM,MI
1457,A00D,MI
1458,B079,MI
1459,Q276,MI
1460,F02Z,MI
1461,F03J,MI
1462,Q2U6,MI
1463,Q2BS,MI
1464,Q1XL,MI
1465,I00F,MI
1466,A073,MI
1467,Q2DN,MI
1468,A0JE,MI
1469,A000,MI
1470,I00K,MI
1471,C03X,MI
1472,I0W1,MI
1473,Q2GG,MI
1474,F01D,MI
1475,B03I,MI
1476,Q2J5,MI
1477,I06P,MI
1478,F01A,MI
1479,A00D,MN
1480,B079,MN
1481,F00X,MN
1482,F03J,MN
1483,Q2A1,MN
1484,I011,MN
1485,F009,MN
1486,Q2CB,MN
1487,I00F,MN
1488,A073,MN
1489,A0JE,MN
1490,E07R,MN
1491,I0W1,MN
1492,Q2YD,MN
1493,F046,MN
1494,F00C,MN
1495,Q392,MN
1496,E02J,MO
1497,G04I,MO
1498,Q1T6,MO
1499,Q26A,MO
1500,B0DM,MO
1501,K02J,MO
1502,B079,MO
1503,A075,MO
1504,E0AC,MO
1505,D032,MO
1506,F00X,MO
1507,F00J,MO
1508,F03J,MO
1509,E02B,MO
1510,Q1WK,MO
1511,Q2P9,MO
1512,Q1XL,MO
1513,F00G,MO
1514,F009,MO
1515,F00F,MO
1516,F00W,MO
1517,Q2CO,MO
1518,A04J,MO
1519,A0JE,MO
1520,A000,MO
1521,E07R,MO
1522,E03S,MO
1523,Q2CC,MO
1524,B04F,MO
1525,Q2GG,MO
1526,Q2YD,MO
1527,F046,MO
1528,F00T,MO
1529,F03X,MO
1530,F00C,MO
1531,E06X,MO
1532,I06P,MO
1533,B07N,MO
1534,Q2RE,MO
1535,B043,MP
1536,B091,MP
1537,B05X,MP
1538,A0I9,MP
1539,C00E,MP
1540,B062,MP
1541,Q2PA,MP
1542,I0R7,MP
1543,B00T,MP
1544,Q3GY,MP
1545,Q3GZ,MP
1546,G0AC,MP
1547,G0AI,MP
1548,A07X,MP
1549,G0A7,MP
1550,Q2QW,MP
1551,Q3H0,MP
1552,I0R8,MP
1553,B065,MP
1554,E04W,MS
1555,Q1SW,MS
1556,A02O,MS
1557,B0DM,MS
1558,C00U,MS
1559,B079,MS
1560,C00F,MS
1561,F01F,MS
1562,F012,MS
1563,F03J,MS
1564,C00E,MS
1565,E01S,MS
1566,C044,MS
1567,C025,MS
1568,C022,MS
1569,B04I,MS
1570,S00T,MS
1571,F01S,MS
1572,C00O,MS
1573,Q2CO,MS
1574,F038,MS
1575,A02Q,MS
1576,B06O,MS
1577,A04J,MS
1578,A0JE,MS
1579,A000,MS
1580,I00K,MS
1581,E010,MS
1582,B04F,MS
1583,C029,MS
1584,F046,MS
1585,F011,MS
1586,F036,MS
1587,F013,MS
1588,F035,MS
1589,F01Y,MS
1590,F00T,MS
1591,F01O,MS
1592,E0A9,MS
1593,C01W,MS
1594,F03X,MS
1595,F027,MS
1596,D031,MS
1597,E06X,MS
1598,B07N,MS
1599,A007,MS
1600,E087,MT
1601,B0DM,MT
1602,B079,MT
1603,B06R,MT
1604,B003,MT
1605,Q2RM,MT
1606,A073,MT
1607,A004,MT
1608,A0JE,MT
1609,E065,MT
1610,E06X,MT
1611,Q1P9,MT
1612,Q2WA,MT
1613,B07N,MT
1614,A001,MT
1615,E00B,NC
1616,E0A7,NC
1617,Q24J,NC
1618,F029,NC
1619,F01J,NC
1620,Q2MZ,NC
1621,B0DM,NC
1622,A00F,NC
1623,Q1U0,NC
1624,C00U,NC
1625,Q3HD,NC
1626,B079,NC
1627,A080,NC
1628,C00F,NC
1629,Q293,NC
1630,F015,NC
1631,C00E,NC
1632,E012,NC
1633,Q1WM,NC
1634,A09M,NC
1635,U001,NC
1636,Q2B3,NC
1637,Q2B7,NC
1638,Q2B8,NC
1639,Q1XA,NC
1640,Q2U5,NC
1641,Q1XL,NC
1642,F02L,NC
1643,C00O,NC
1644,Q2CI,NC
1645,Q2CO,NC
1646,Q2DF,NC
1647,E01P,NC
1648,J014,NC
1649,B06O,NC
1650,A04J,NC
1651,A0JE,NC
1652,A000,NC
1653,I0MZ,NC
1654,E01N,NC
1655,Q2EL,NC
1656,G00V,NC
1657,F00L,NC
1658,E01G,NC
1659,B04F,NC
1660,F025,NC
1661,Q2H9,NC
1662,Q2HH,NC
1663,Q219,NC
1664,Q21B,NC
1665,Q2I0,NC
1666,Q2I4,NC
1667,Q39D,NC
1668,Q2J7,NC
1669,Q2R1,NC
1670,B07O,NC
1671,Q231,NC
1672,A007,NC
1673,F000,NC
1674,B0DM,ND
1675,B079,ND
1676,B003,ND
1677,I011,ND
1678,A0JE,ND
1679,I0W1,ND
1680,Q2YD,ND
1681,E06X,ND
1682,B07N,ND
1683,B0DM,NE
1684,B079,NE
1685,I0QR,NE
1686,Q0VV,NE
1687,B003,NE
1688,F00W,NE
1689,A0JE,NE
1690,I028,NE
1691,E07R,NE
1692,Q2EX,NE
1693,Q2YD,NE
1694,E06X,NE
1695,Q2WA,NE
1696,B07N,NE
1697,F029,NH
1698,Q1TC,NH
1699,B0DM,NH
1700,B079,NH
1701,C00F,NH
1702,C00E,NH
1703,Q1XL,NH
1704,A0JE,NH
1705,Q21H,NH
1706,B07O,NH
1707,Q24J,NJ
1708,F029,NJ
1709,Q2MZ,NJ
1710,B0DM,NJ
1711,B079,NJ
1712,I02C,NJ
1713,C048,NJ
1714,C00F,NJ
1715,C00E,NJ
1716,Q2B8,NJ
1717,Q1XL,NJ
1718,A0JE,NJ
1719,A000,NJ
1720,Q216,NJ
1721,Q2I4,NJ
1722,B07O,NJ
1723,Q1T1,NM
1724,G03K,NM
1725,Q1T9,NM
1726,A00E,NM
1727,E063,NM
1728,B079,NM
1729,Q277,NM
1730,B06R,NM
1731,Q1UW,NM
1732,Q1UX,NM
1733,C01S,NM
1734,E04B,NM
1735,Q1VW,NM
1736,B094,NM
1737,Q1W4,NM
1738,Q1W7,NM
1739,E00V,NM
1740,K023,NM
1741,E02P,NM
1742,E028,NM
1743,Q24C,NM
1744,Q0YJ,NM
1745,E07I,NM
1746,Q34D,NM
1747,G04C,NM
1748,A0AD,NM
1749,A0AE,NM
1750,A073,NM
1751,E05J,NM
1752,A004,NM
1753,E05X,NM
1754,E04F,NM
1755,E00E,NM
1756,A040,NM
1757,Q1ZY,NM
1758,D019,NM
1759,E00C,NM
1760,E006,NM
1761,G03S,NM
1762,G05P,NM
1763,G03T,NM
1764,D02F,NM
1765,Q21J,NM
1766,B07N,NM
1767,B074,NM
1768,C04Q,NM
1769,C051,NM
1770,K01Y,NM
1771,E03X,NM
1772,G03Q,NM
1773,E054,NM
1774,A0BX,NM
1775,I023,NV
1776,Q1TB,NV
1777,E057,NV
1778,Q1U5,NV
1779,E001,NV
1780,B06R,NV
1781,E04U,NV
1782,E04Q,NV
1783,E04T,NV
1784,E009,NV
1785,E042,NV
1786,E00W,NV
1787,E007,NV
1788,B094,NV
1789,Q297,NV
1790,E03C,NV
1791,Q2OR,NV
1792,E020,NV
1793,E00R,NV
1794,E02A,NV
1795,Q2AM,NV
1796,Q1XM,NV
1797,Q34J,NV
1798,E04P,NV
1799,E04L,NV
1800,Q1ZD,NV
1801,E002,NV
1802,Q2E8,NV
1803,E00Y,NV
1804,E00Z,NV
1805,I0RG,NV
1806,E03E,NV
1807,E03A,NV
1808,E03B,NV
1809,E065,NV
1810,Q2WA,NV
1811,E054,NV
1812,Q1SN,NY
1813,Q24K,NY
1814,F029,NY
1815,Q2MZ,NY
1816,S00O,NY
1817,B0DM,NY
1818,B079,NY
1819,C048,NY
1820,C00F,NY
1821,C00E,NY
1822,Q1XL,NY
1823,I00F,NY
1824,A0JE,NY
1825,A000,NY
1826,F01D,NY
1827,Q392,NY
1828,Q21H,NY
1829,Q2J5,NY
1830,B07O,NY
1831,G00P,NY
1832,F01A,NY
1833,Q1SN,OH
1834,B0DM,OH
1835,B079,OH
1836,F02H,OH
1837,F006,OH
1838,F007,OH
1839,F02Z,OH
1840,F03J,OH
1841,Q2U6,OH
1842,Q1XL,OH
1843,F00G,OH
1844,I00F,OH
1845,A0JE,OH
1846,A000,OH
1847,I00K,OH
1848,C03X,OH
1849,I028,OH
1850,E01T,OH
1851,Q2GG,OH
1852,F046,OH
1853,F01D,OH
1854,F03X,OH
1855,Q2R1,OH
1856,Q2RE,OH
1857,F01A,OH
1858,E02J,OK
1859,F00U,OK
1860,B0DM,OK
1861,B079,OK
1862,A075,OK
1863,B003,OK
1864,F00F,OK
1865,F00W,OK
1866,A04J,OK
1867,A0JE,OK
1868,A000,OK
1869,I028,OK
1870,E05X,OK
1871,E03S,OK
1872,E017,OK
1873,B04F,OK
1874,Q2H9,OK
1875,F03X,OK
1876,F00C,OK
1877,B07N,OK
1878,B07T,OK
1879,Q1SX,OR
1880,Q25T,OR
1881,B08C,OR
1882,K03G,OR
1883,A00D,OR
1884,C00U,OR
1885,Q26U,OR
1886,E057,OR
1887,Q0E9,OR
1888,B07C,OR
1889,E055,OR
1890,B06R,OR
1891,E052,OR
1892,C00F,OR
1893,B0B3,OR
1894,Q2TF,OR
1895,I0T6,OR
1896,Q0V6,OR
1897,E02S,OR
1898,E027,OR
1899,Q2RM,OR
1900,I0IS,OR
1901,C00V,OR
1902,Q1Y0,OR
1903,Q2CL,OR
1904,Q1YN,OR
1905,Q356,OR
1906,Q35E,OR
1907,A073,OR
1908,Q1ZF,OR
1909,A002,OR
1910,E08A,OR
1911,E08D,OR
1912,E06Y,OR
1913,E06D,OR
1914,E00Y,OR
1915,E09Q,OR
1916,Q1AZ,OR
1917,B00Y,OR
1918,Q1HU,OR
1919,D02A,OR
1920,E03D,OR
1921,E065,OR
1922,Q21M,OR
1923,Q1P9,OR
1924,I01A,OR
1925,Q221,OR
1926,B08B,OR
1927,Q2K9,OR
1928,Q23K,OR
1929,E00B,PA
1930,F029,PA
1931,B079,PA
1932,C048,PA
1933,F02Z,PA
1934,F03J,PA
1935,Q1XL,PA
1936,A0JE,PA
1937,A000,PA
1938,F046,PA
1939,F01D,PA
1940,F03X,PA
1941,Q21H,PA
1942,F01A,PA
1943,B06Z,PR
1944,S01O,PR
1945,B05T,PR
1946,B00L,PR
1947,C01O,PR
1948,Q2YY,PR
1949,Q25J,PR
1950,Q2ZU,PR
1951,Q266,PR
1952,B06Y,PR
1953,Q26G,PR
1954,Q26J,PR
1955,Q26M,PR
1956,B04J,PR
1957,Q30M,PR
1958,Q26W,PR
1959,B049,PR
1960,Q27F,PR
1961,Q27I,PR
1962,Q3A8,PR
1963,Q27R,PR
1964,S01J,PR
1965,C01R,PR
1966,Q28N,PR
1967,C00F,PR
1968,S01U,PR
1969,D00X,PR
1970,D00D,PR
1971,D03V,PR
1972,C00P,PR
1973,C02E,PR
1974,C01Q,PR
1975,C00E,PR
1976,Q2A2,PR
1977,Q3D7,PR
1978,Q2TT,PR
1979,Q2AL,PR
1980,Q2TV,PR
1981,Q2AX,PR
1982,Q2BO,PR
1983,Q3AB,PR
1984,Q34N,PR
1985,Q2C5,PR
1986,Q34Y,PR
1987,Q35F,PR
1988,Q2DQ,PR
1989,Q2DR,PR
1990,Q2Q6,PR
1991,Q2EK,PR
1992,D00M,PR
1993,Q2F6,PR
1994,Q2GH,PR
1995,S01V,PR
1996,Q2W3,PR
1997,B07V,PR
1998,Q2J3,PR
1999,C038,PR
2000,Q2JA,PR
2001,B07O,PR
2002,Q2R6,PR
2003,S01W,PR
2004,Q2JL,PR
2005,Q2JM,PR
2006,S01Y,PR
2007,S01Z,PR
2008,S020,PR
2009,A007,PR
2010,Q2KU,PR
2011,Q0GP,PR
2012,Q3A6,PR
2013,Q2MX,PR
2014,Q24K,RI
2015,B0DM,RI
2016,B079,RI
2017,C00F,RI
2018,C00E,RI
2019,Q1XL,RI
2020,A0JE,RI
2021,I028,RI
2022,B07O,RI
2023,E00B,SC
2024,Q2MZ,SC
2025,D013,SC
2026,Q1ST,SC
2027,B0DM,SC
2028,A00F,SC
2029,C00U,SC
2030,B079,SC
2031,C00F,SC
2032,Q293,SC
2033,C00E,SC
2034,U001,SC
2035,Q2B7,SC
2036,Q2B8,SC
2037,Q1XA,SC
2038,S015,SC
2039,Q1XL,SC
2040,F02L,SC
2041,C00O,SC
2042,Q2CO,SC
2043,Q2DF,SC
2044,B06O,SC
2045,A0JE,SC
2046,Q2EL,SC
2047,B04F,SC
2048,Q2H9,SC
2049,Q2HH,SC
2050,Q217,SC
2051,Q219,SC
2052,Q2I0,SC
2053,Q2I4,SC
2054,B03I,SC
2055,Q39D,SC
2056,A007,SC
2057,Q23D,SC
2058,Q2RG,SC
2059,B03G,SC
2060,B0DM,SD
2061,B079,SD
2062,B003,SD
2063,I011,SD
2064,F009,SD
2065,F00W,SD
2066,A004,SD
2067,A0JE,SD
2068,I028,SD
2069,E07R,SD
2070,I0W1,SD
2071,Q2YD,SD
2072,Q392,SD
2073,E06X,SD
2074,B07N,SD
2075,F01K,TN
2076,F01J,TN
2077,G00W,TN
2078,Q1SW,TN
2079,Q1SY,TN
2080,Q25F,TN
2081,S00O,TN
2082,Q2Z8,TN
2083,G016,TN
2084,E0AR,TN
2085,Q315,TN
2086,Q1UR,TN
2087,A080,TN
2088,F00X,TN
2089,E05Y,TN
2090,F02H,TN
2091,Q28M,TN
2092,F00K,TN
2093,F01F,TN
2094,F01T,TN
2095,F005,TN
2096,F010,TN
2097,F02F,TN
2098,F02D,TN
2099,F002,TN
2100,F003,TN
2101,F03J,TN
2102,F004,TN
2103,E012,TN
2104,E01X,TN
2105,E01B,TN
2106,E078,TN
2107,E076,TN
2108,E05R,TN
2109,E05P,TN
2110,F00Q,TN
2111,F00O,TN
2112,Q1WM,TN
2113,A09M,TN
2114,U001,TN
2115,Q2B3,TN
2116,Q3HO,TN
2117,F01X,TN
2118,Q1XL,TN
2119,F00G,TN
2120,F02X,TN
2121,F00A,TN
2122,F00I,TN
2123,Q13H,TN
2124,F039,TN
2125,J014,TN
2126,A04J,TN
2127,A0JE,TN
2128,A000,TN
2129,E02C,TN
2130,E07F,TN
2131,E01Y,TN
2132,E03T,TN
2133,F00S,TN
2134,K01S,TN
2135,F00L,TN
2136,E05F,TN
2137,E05H,TN
2138,E010,TN
2139,E05I,TN
2140,Q139,TN
2141,Q2QK,TN
2142,F00M,TN
2143,F00R,TN
2144,F046,TN
2145,F01D,TN
2146,F03B,TN
2147,F033,TN
2148,F03Z,TN
2149,F035,TN
2150,F00P,TN
2151,F01Y,TN
2152,F037,TN
2153,F041,TN
2154,G027,TN
2155,F03X,TN
2156,F00V,TN
2157,F00E,TN
2158,F00D,TN
2159,E06X,TN
2160,Q2IA,TN
2161,Q2J7,TN
2162,Q2R1,TN
2163,B07N,TN
2164,F00B,TN
2165,F001,TN
2166,F000,TN
2167,Q2MP,TN
2168,Q24E,TX
2169,Q1SS,TX
2170,G03K,TX
2171,Q07V,TX
2172,Q2XW,TX
2173,I0I9,TX
2174,I0PT,TX
2175,D004,TX
2176,B0DM,TX
2177,Q1TT,TX
2178,C00U,TX
2179,B079,TX
2180,J01A,TX
2181,J019,TX
2182,J01D,TX
2183,J01B,TX
2184,B06R,TX
2185,Q1UU,TX
2186,Q1UV,TX
2187,Q1UX,TX
2188,Q27U,TX
2189,E023,TX
2190,E008,TX
2191,B07W,TX
2192,C00F,TX
2193,E03V,TX
2194,Q294,TX
2195,Q1VY,TX
2196,Q1W0,TX
2197,Q1W2,TX
2198,B094,TX
2199,C00E,TX
2200,E00T,TX
2201,D02X,TX
2202,D00I,TX
2203,D02S,TX
2204,D010,TX
2205,D02T,TX
2206,D033,TX
2207,B06V,TX
2208,E004,TX
2209,E005,TX
2210,E00V,TX
2211,K020,TX
2212,K024,TX
2213,Q1WK,TX
2214,B003,TX
2215,Q0YJ,TX
2216,A05H,TX
2217,I0MH,TX
2218,Q0ZH,TX
2219,Q1XI,TX
2220,Q2RK,TX
2221,Q34U,TX
2222,A084,TX
2223,C00O,TX
2224,A0AE,TX
2225,Q2PE,TX
2226,Q13L,TX
2227,Q1YS,TX
2228,J018,TX
2229,J00B,TX
2230,I028,TX
2231,E05Z,TX
2232,E05X,TX
2233,E04K,TX
2234,B01A,TX
2235,Q205,TX
2236,B04F,TX
2237,Q20U,TX
2238,G04W,TX
2239,G00X,TX
2240,Q211,TX
2241,I0RF,TX
2242,I0P1,TX
2243,I0IB,TX
2244,Q1SV,TX
2245,Q21X,TX
2246,B07N,TX
2247,B074,TX
2248,K019,TX
2249,I0MI,TX
2250,Q224,TX
2251,J00A,TX
2252,I0IA,TX
2253,J016,TX
2254,J008,TX
2255,J009,TX
2256,Q1SH,TX
2257,A007,TX
2258,G013,TX
2259,G05D,TX
2260,B00O,TX
2261,D001,TX
2262,B07T,TX
2263,Q24A,TX
2264,Q1SZ,UT
2265,Q25M,UT
2266,Q2ZA,UT
2267,Q05R,UT
2268,Q2NC,UT
2269,Q260,UT
2270,Q1U1,UT
2271,B0B0,UT
2272,E050,UT
2273,B06R,UT
2274,Q1V7,UT
2275,A04A,UT
2276,B094,UT
2277,E000,UT
2278,E020,UT
2279,E02A,UT
2280,C04L,UT
2281,Q1XV,UT
2282,Q1XY,UT
2283,A073,UT
2284,E00F,UT
2285,E00Y,UT
2286,G01M,UT
2287,Q200,UT
2288,Q2QA,UT
2289,Q2QB,UT
2290,Q203,UT
2291,E00Z,UT
2292,Q2H5,UT
2293,E006,UT
2294,Q212,UT
2295,Q38X,UT
2296,Q2QU,UT
2297,Q1N9,UT
2298,Q3KI,UT
2299,Q3N6,UT
2300,Q21K,UT
2301,Q3LJ,UT
2302,Q2WA,UT
2303,B074,UT
2304,Q234,UT
2305,E054,UT
2306,Q24J,VA
2307,F029,VA
2308,Q2MZ,VA
2309,K008,VA
2310,Q2XA,VA
2311,Q1TG,VA
2312,B0DM,VA
2313,K03K,VA
2314,Q1U0,VA
2315,C00U,VA
2316,B079,VA
2317,I02C,VA
2318,A080,VA
2319,F00X,VA
2320,F02H,VA
2321,C00F,VA
2322,F00K,VA
2323,Q293,VA
2324,F01F,VA
2325,F01T,VA
2326,F010,VA
2327,F002,VA
2328,F03J,VA
2329,C00E,VA
2330,E012,VA
2331,E01X,VA
2332,E078,VA
2333,F00Q,VA
2334,F00O,VA
2335,A09M,VA
2336,U001,VA
2337,Q2B3,VA
2338,Q2P9,VA
2339,Q2B8,VA
2340,F01X,VA
2341,Q2BP,VA
2342,Q1XL,VA
2343,F00G,VA
2344,F00I,VA
2345,C00O,VA
2346,K02C,VA
2347,J014,VA
2348,A04J,VA
2349,A0JE,VA
2350,A000,VA
2351,I00K,VA
2352,E01Y,VA
2353,F00L,VA
2354,E01G,VA
2355,E05I,VA
2356,B04F,VA
2357,Q2GG,VA
2358,F046,VA
2359,D01G,VA
2360,F025,VA
2361,F00P,VA
2362,F01Y,VA
2363,G00Z,VA
2364,Q2H9,VA
2365,F041,VA
2366,F00V,VA
2367,F00E,VA
2368,F00D,VA
2369,Q2HH,VA
2370,Q21H,VA
2371,Q2R1,VA
2372,B07O,VA
2373,F001,VA
2374,F000,VA
2375,Q00O,VI
2376,C01P,VI
2377,C01O,VI
2378,Q26G,VI
2379,Q26L,VI
2380,Q30M,VI
2381,C00F,VI
2382,C02E,VI
2383,C00E,VI
2384,B07O,VI
2385,Q2MX,VI
2386,F029,VT
2387,Q1TC,VT
2388,A0JE,VT
2389,A000,VT
2390,Q21H,VT
2391,A0GG,WA
2392,B08C,WA
2393,A00D,WA
2394,Q26U,WA
2395,B07C,WA
2396,B06R,WA
2397,C00F,WA
2398,B0B3,WA
2399,Q3HN,WA
2400,I0T6,WA
2401,Q0XA,WA
2402,Q2RM,WA
2403,Q1YN,WA
2404,Q35E,WA
2405,A073,WA
2406,A02Q,WA
2407,A002,WA
2408,E08D,WA
2409,E06Y,WA
2410,E06D,WA
2411,E09Q,WA
2412,A0IL,WA
2413,B00Y,WA
2414,Q3HR,WA
2415,D02A,WA
2416,A088,WA
2417,E065,WA
2418,Q21M,WA
2419,Q1OT,WA
2420,Q1P9,WA
2421,I01A,WA
2422,Q2WA,WA
2423,B08B,WA
2424,A0CP,WA
2425,A0IE,WA
2426,A0IF,WA
2427,A0IG,WA
2428,A001,WA
2429,Q1SN,WI
2430,Q1T6,WI
2431,B0DM,WI
2432,A00D,WI
2433,B079,WI
2434,Q276,WI
2435,F00X,WI
2436,F03J,WI
2437,Q2BS,WI
2438,F009,WI
2439,Q2CB,WI
2440,I00F,WI
2441,A073,WI
2442,A0JE,WI
2443,I0W1,WI
2444,Q2EM,WI
2445,Q2GG,WI
2446,F046,WI
2447,F00C,WI
2448,B03I,WI
2449,I06P,WI
2450,K008,WV
2451,Q2XA,WV
2452,B0DM,WV
2453,K03K,WV
2454,K08X,WV
2455,A080,WV
2456,E014,WV
2457,F02H,WV
2458,F02Z,WV
2459,F003,WV
2460,Q1XL,WV
2461,F00G,WV
2462,A0JE,WV
2463,A000,WV
2464,D011,WV
2465,F01D,WV
2466,F025,WV
2467,Q2H9,WV
2468,Q21H,WV
2469,Q2R1,WV
2470,Q2RE,WV
2471,G00S,WV
2472,D01R,WY
2473,B06R,WY
2474,Q0VV,WY
2475,A073,WY
2476,A004,WY
2477,A0JE,WY
2478,Q2EX,WY
2479,E00S,WY
2480,Q2WA,WY
2481,A001,WY
2482,Q3GI,WY
2483,A0C2,WY
2484,K004,DC
2485,A0JE,DC
2486,A00T,WA
2487,A00T,OR
2488,A00V,WA
2489,A00V,OR
2490,A07B,WA
2491,A07B,OR
2492,A00W,WA
2493,A00W,OR
2494,A00U,WA
2495,A00U,OR
2496,A07C,WA
2497,A07C,OR
2498,A0KX,HI
2499,E0BK,WA
2500,E0BM,WA
2501,E0BI,WA
2502,A02P,AK
2503,C02K,PT
2504,E0CL,
2505,A0K4,AK
2506,E0BJ,WA
2507,E0BJ,CA
2508,E0BJ,OR
2509,P00O,AS
2510,P00O,MP
2511,P00O,GU
2512,P00W,AS
2513,P00W,MP
2514,P00W,GU
2515,P00X,AS
2516,Q3OA,HI
2517,Q3NS,HI
2518,Q3NU,HI
2519,Q3NV,HI
2520,Q3NW,HI
2521,Q3NX,HI
2522,Q3NT,HI
2523,Q3NY,HI
2524,Q3OB,HI
2525,Q3OC,HI
2526,P002,FL
2527,P002,PR
2528,P002,VI
2529,A0K6,AK
2530,A0K6,WA
2531,A0K6,OR
2532,A0K6,CA
2533,P00F,AS
2534,Q3O5,HI
2535,E021,TX
2536,G0FU,CA
2537,B0OC,HI
2538,I0TX,NV
2539,P01X,AS
2540,A071,HI
2541,Q3NZ,HI
2542,P006,PR
2543,P006,VI
2544,P006,FL
2545,P003,PR
2546,P003,VI
2547,P003,FL
2548,P004,PR
2549,P004,VI
2550,P004,FL
2551,P01Y,PR
2552,P01Y,VI
2553,P01Y,FL
2554,Q3O0,HI
2555,Q3O1,HI
2556,E0CG,FL
2557,E0CG,AL
2558,E0CG,MS
2559,E0CG,LA
2560,E0CG,TX
2561,Q3OE,HI
2562,Q3O2,HI
2563,Q3O3,HI
2564,P00I,MP
2565,P00I,GU
2566,Q3O4,HI
